nombre;apellido;fechaNacimiento;idJugador;dorsal;telefono;posicion;altura;media
Jonas;Müller;2002-08-19;1;62;676125617;PORTERO;1.79;81
Moritz;Wagner;2000-09-13;2;40;633273328;PORTERO;1.92;64
Miguel;Muñoz;1986-06-22;3;73;609196777;PORTERO;1.72;62
Finn;Hartmann;2005-05-01;4;47;748942697;PORTERO;1.76;87
Pedro;Álvarez;1990-09-17;5;15;762409658;PORTERO;1.85;77
Leo;Adams;1990-10-17;6;24;700791358;PORTERO;1.89;87
Liam;Turner;1994-09-30;7;94;771503856;PORTERO;1.97;83
Nathan;Moore;1987-07-19;8;65;730532273;PORTERO;1.75;75
Charlie;Martin;1986-04-26;9;46;767172238;PORTERO;1.69;50
Oskar;Wolf;1987-10-21;10;47;725583290;PORTERO;1.92;79
Henry;Schmitt;2005-09-21;11;18;681804602;PORTERO;1.74;73
Connor;Adams;1991-05-27;12;48;749470729;PORTERO;1.82;80
Nico;Hartmann;1991-11-18;13;55;608530615;PORTERO;1.90;86
Leo;Turner;1994-02-13;14;86;703886030;PORTERO;1.68;79
Adrián;Iglesias;2003-02-06;15;5;653118906;PORTERO;1.82;52
Callum;Thompson;1990-12-21;16;53;644743095;PORTERO;1.77;63
Iker;Ortega;1989-03-04;17;53;655686520;PORTERO;1.77;81
Iván;Torres;1994-05-22;18;14;605879578;PORTERO;2.02;60
Pedro;Martínez;1993-01-29;19;27;635135070;PORTERO;1.83;90
Jordan;Young;1990-10-24;20;2;787393186;PORTERO;1.76;89
Nacho;Vargas;1995-05-06;21;94;783650068;PORTERO;1.66;90
David;Fischer;1988-11-20;22;76;774905122;PORTERO;1.79;70
William;Martin;2003-04-19;23;48;796448614;PORTERO;1.78;70
Juan;Molina;1993-07-24;24;23;653143336;PORTERO;1.82;65
Jamie;Smith;2002-09-23;25;38;793456932;PORTERO;1.74;82
Sam;Jones;1992-09-22;26;34;618784915;PORTERO;1.95;67
Anton;Schröder;1990-02-16;27;52;710326375;PORTERO;1.84;61
Charlie;Scott;1991-05-24;28;16;764992426;PORTERO;1.90;77
Raúl;Díaz;1991-07-14;29;34;703296743;PORTERO;1.80;74
George;Martin;1995-05-01;30;42;785295586;PORTERO;1.70;83
Tobias;Kuhn;2000-06-21;31;75;733226234;DEFENSA;1.72;69
Elias;Schröder;1989-03-10;32;92;671203615;DEFENSA;1.73;74
Lukas;Braun;2000-07-30;33;95;660850538;DEFENSA;1.83;83
David;Schmidt;1992-12-08;34;79;703209180;DEFENSA;1.85;60
Óscar;Álvarez;2000-04-06;35;64;618762704;DEFENSA;1.94;86
Juan;Martínez;2004-08-16;36;62;779398174;DEFENSA;1.72;72
Víctor;Iglesias;1993-11-20;37;61;750829941;DEFENSA;1.84;66
